11, 1.5876e-17
12, 2.4099e-17
13, 3.0186e-17
14, 3.5119e-17
14.5, 3.728e-17
15, 3.9256e-17
16, 4.2786e-17
17, 4.5828e-17
18, 4.8468e-17
19, 5.0768e-17
20, 5.2779e-17
21, 5.454e-17
22, 5.6084e-17
23, 5.7439e-17
24, 5.8627e-17
26, 6.058e-17
28, 6.2069e-17
30, 6.3189e-17
32, 6.4013e-17
34, 6.4597e-17
36, 6.4986e-17
38, 6.5216e-17
40, 6.5315e-17
45, 6.513e-17
50, 6.452e-17
55, 6.3647e-17
60, 6.2615e-17
65, 6.1489e-17
70, 6.0315e-17
75, 5.9121e-17
80, 5.7929e-17
85, 5.675e-17
90, 5.5593e-17
95, 5.4465e-17
100, 5.3369e-17
110, 5.1276e-17
120, 4.9322e-17
130, 4.75e-17
140, 4.5805e-17
150, 4.4227e-17
160, 4.2756e-17
170, 4.1383e-17
180, 4.01e-17
190, 3.8898e-17
200, 3.7771e-17
250, 3.3045e-17
300, 2.9445e-17
350, 2.6607e-17
400, 2.4309e-17
450, 2.2408e-17
500, 2.0807e-17
600, 1.8254e-17
700, 1.6303e-17
800, 1.476e-17
900, 1.3505e-17
1000, 1.2463e-17
1500, 9.094e-18
2000, 7.236e-18
3000, 5.214e-18
