# Mars exosphere neutral density profile used by mars_exosphere.m
# Source MAT file: F:\data\maven\data\sci\supporting_data\H_O_corona_density_profile.mat
# Density unit: cm^-3. Altitude unit: km.
# Columns: alt_H_km nH_cm^-3 alt_O_km nO_cm^-3
3.233644228092e+04 2.016288697533e+01 2.046249800451e+04 2.016288697533e+01
3.121519168545e+04 2.208865789992e+01 1.953230632514e+04 2.208865789992e+01
3.015539597621e+04 2.419836050346e+01 1.867234755472e+04 2.419836050346e+01
2.913158168770e+04 2.650956222459e+01 1.782353318582e+04 2.650956222459e+01
2.812145809307e+04 2.904150837982e+01 1.701330452934e+04 2.904150837982e+01
2.714636004862e+04 3.181528241885e+01 1.623990754191e+04 3.181528241885e+01
2.622470638104e+04 3.485398148584e+01 1.551328204972e+04 3.485398148584e+01
2.533434403508e+04 3.818290874877e+01 1.480807362995e+04 3.818290874877e+01
2.447421063032e+04 4.182978409824e+01 1.414551297423e+04 4.182978409824e+01
2.360789167388e+04 4.582497497030e+01 1.348227120161e+04 4.582497497030e+01
2.280637353642e+04 5.020174921526e+01 1.285012689784e+04 5.020174921526e+01
2.203206796557e+04 5.499655211826e+01 1.227517105171e+04 5.499655211826e+01
2.125219406416e+04 6.024930987817e+01 1.170838971977e+04 6.024930987817e+01
2.053065487555e+04 6.600376207204e+01 1.115941753570e+04 6.600376207204e+01
1.981876428459e+04 7.230782587338e+01 1.063618505334e+04 7.230782587338e+01
1.913155815776e+04 7.921399505726e+01 1.015268148331e+04 7.921399505726e+01
1.848201727231e+04 8.677977711457e+01 9.676651912945e+03 8.677977711457e+01
1.782780528738e+04 9.506817211544e+01 9.209137499864e+03 9.506817211544e+01
1.722252848052e+04 1.041481973091e+02 8.783924099886e+03 1.041481973091e+02
1.661289889427e+04 1.140954618289e+02 8.359540629544e+03 1.140954618289e+02
1.602484849906e+04 1.249927962873e+02 7.961621202102e+03 1.249927962873e+02
1.548078438273e+04 1.369309425046e+02 7.582642991380e+03 1.369309425046e+02
1.493280769111e+04 1.500093091132e+02 7.210895266123e+03 1.500093091132e+02
1.441501976100e+04 1.643367993313e+02 6.867652085332e+03 1.643367993313e+02
1.391518587852e+04 1.800327177967e+02 6.530957605124e+03 1.800327177967e+02
1.342262701765e+04 1.972277640136e+02 6.196831179714e+03 1.972277640136e+02
1.294750336989e+04 2.160651206840e+02 5.910704964848e+03 2.160651206840e+02
1.248919777723e+04 2.367016459861e+02 5.604112211167e+03 2.367016459861e+02
1.204711492731e+04 2.593091797287e+02 5.309444723119e+03 2.593091797287e+02
1.162068058017e+04 2.840759742562e+02 5.049143136925e+03 2.840759742562e+02
1.120934082236e+04 3.112082620216e+02 4.808800726361e+03 3.112082620216e+02
1.081256134741e+04 3.409319728784e+02 4.555951179962e+03 3.409319728784e+02
1.042982676184e+04 3.734946153926e+02 4.316396610160e+03 3.734946153926e+02
1.006063991563e+04 4.091673378401e+02 4.089437959332e+03 4.091673378401e+02
9.704521256503e+03 4.482471860517e+02 3.874412926713e+03 4.482471860517e+02
9.361008207007e+03 4.910595769054e+02 3.670694035700e+03 4.910595769054e+02
9.016139389018e+03 5.379610080646e+02 3.474588743934e+03 5.338870838811e+02
8.696993142197e+03 5.893420265249e+02 3.294877355496e+03 5.804497697231e+02
8.376587297155e+03 6.456304806886e+02 3.121630782768e+03 6.358889184464e+02
8.080079414822e+03 7.072950830473e+02 2.960174954898e+03 6.913476415247e+02
7.782401282785e+03 7.748493131386e+02 2.802028847496e+03 7.516431684475e+02
7.495689908096e+03 8.488556932768e+02 2.654716418818e+03 8.171973385602e+02
7.230363342225e+03 9.299304726614e+02 2.526495211576e+03 8.817404976843e+02
