0.1	2e-27
0.52	6.11e-25
1	5.6e-24
1.551	2.4e-23
1.996	5.53e-23
2.462	1.04e-22
2.913	1.92e-22
3.447	3.32e-22
4.077	5.72e-22
4.436	7.5e-22
5.032	1.13e-21
5.474	1.47e-21
5.952	1.93e-21
6.474	2.52e-21
7.045	3.29e-21
7.345	3.76e-21
7.663	4.29e-21
7.989	4.9e-21
8.332	5.59e-21
8.689	6.38e-21
9.063	7.28e-21
9.45	8.31e-21
9.856	9.47e-21
10.28	1.08e-20
10.73	1.23e-20
11.18	1.4e-20
11.66	1.6e-20
12.17	1.82e-20
12.69	2.07e-20
13.23	2.36e-20
13.8	2.69e-20
14.39	3.06e-20
15.01	3.47e-20
15.65	3.95e-20
16.33	4.49e-20
17.03	5.1e-20
17.76	5.8e-20
18.52	6.59e-20
19.32	7.48e-20
20.14	8.49e-20
21.01	9.63e-20
21.91	1.09e-19
22.85	1.24e-19
23.83	1.4e-19
24.86	1.59e-19
25.93	1.8e-19
27.04	2.04e-19
28.2	2.31e-19
29.41	2.62e-19
30.67	2.96e-19
31.99	3.35e-19
33.37	3.79e-19
34.8	4.29e-19
36.28	4.83e-19
37.85	5.46e-19
39.47	6.16e-19
41.16	6.95e-19
42.93	7.84e-19
44.78	8.84e-19
46.7	9.97e-19
48.7	1.12e-18
50.79	1.27e-18
52.99	1.42e-18
55.25	1.6e-18
57.61	1.8e-18
60.1	2.03e-18
62.68	2.28e-18
65.36	2.56e-18
68.16	2.87e-18
71.09	3.22e-18
74.15	3.61e-18
77.35	4.05e-18
80.67	4.53e-18
84.11	5.08e-18
87.75	5.68e-18
91.175	6.3e-18
