energy(eV)  elastic (x1e-16)  ionization (x1e-16)  others (x1e-16)
  3719.110   0.15463   0.00593   0.27033
  3920.365   0.14833   0.00569   0.25814
  4132.510   0.14230   0.00545   0.24652
  4356.135   0.13651   0.00522   0.23545
  4591.861   0.13095   0.00500   0.22490
  4840.344   0.12562   0.00479   0.21484
  5102.272   0.12051   0.00459   0.20526
  5378.375   0.11561   0.00440   0.19612
  5669.418   0.11090   0.00422   0.18742
  5976.211   0.10639   0.00404   0.17911
  6299.605   0.10206   0.00387   0.17120
  6640.500   0.09791   0.00371   0.16365
  6999.841   0.09392   0.00356   0.15645
  7378.628   0.09010   0.00341   0.14959
  7777.913   0.08643   0.00327   0.14304
  8198.804   0.08292   0.00313   0.13679
  8642.471   0.07954   0.00300   0.13084
  9110.146   0.07630   0.00287   0.12515
  9603.129   0.07320   0.00275   0.11973
 10122.789   0.07022   0.00264   0.11456
 10670.570   0.06736   0.00253   0.10962
 11247.994   0.06462   0.00242   0.10491
 11856.663   0.06199   0.00232   0.10041
 12498.271   0.05947   0.00222   0.09611
 13174.597   0.05705   0.00213   0.09201
 13887.523   0.05473   0.00204   0.08810
 14639.027   0.05250   0.00196   0.08436
 15431.198   0.05036   0.00188   0.08080
 16266.236   0.04831   0.00180   0.07739
 17146.461   0.04635   0.00172   0.07413
 18074.318   0.04446   0.00165   0.07102
 19052.386   0.04265   0.00158   0.06805
 20083.379   0.04092   0.00152   0.06522
 21170.164   0.03925   0.00145   0.06250
 22315.758   0.03765   0.00139   0.05991
 23523.345   0.03612   0.00133   0.05744
 24796.279   0.03465   0.00128   0.05507
 26138.095   0.03324   0.00122   0.05280
 27552.523   0.03189   0.00117   0.05064
 29043.490   0.03059   0.00112   0.04857
 30615.138   0.02935   0.00108   0.04659
 32271.835   0.02815   0.00103   0.04470
 34018.181   0.02701   0.00099   0.04289
 35859.028   0.02591   0.00095   0.04116
 37799.491   0.02485   0.00091   0.03951
 39844.958   0.02384   0.00087   0.03792
 42001.114   0.02287   0.00083   0.03641
 44273.947   0.02194   0.00080   0.03496
 46669.771   0.02105   0.00077   0.03357
 49195.241   0.02019   0.00073   0.03224
 51857.375   0.01937   0.00070   0.03097
 54663.565   0.01858   0.00067   0.02975
 57621.610   0.01783   0.00065   0.02858
 60739.724   0.01710   0.00062   0.02747
 64026.571   0.01640   0.00059   0.02640
 67491.281   0.01574   0.00057   0.02537
 71143.480   0.01510   0.00055   0.02439
 74993.312   0.01448   0.00052   0.02345
 79051.472   0.01389   0.00050   0.02255
 83329.235   0.01333   0.00048   0.02168
 87838.482   0.01278   0.00046   0.02085
 92591.742   0.01226   0.00044   0.02006
 97602.217   0.01177   0.00042   0.01930
