0.01	5.03e-26
1	6.88e-20
2	3.89e-19
2.305	5.27e-19
2.306	2.8e-20
3	5.77e-20
4	1.24e-19
5	2.19e-19
6	3.44e-19
7	4.98e-19
8	6.79e-19
9	8.87e-19
10	1.12e-18
11	1.37e-18
12	1.65e-18
13	1.94e-18
14	2.25e-18
15	2.57e-18
16	2.91e-18
17	3.25e-18
18	3.6e-18
19	3.96e-18
20	4.33e-18
21	4.7e-18
22	5.07e-18
23	5.44e-18
23.59	5.67e-18
23.61	5.69e-18
23.63	5.7e-18
23.66	5.71e-18
23.7	5.7e-18
23.78	5.72e-18
23.92	5.77e-18
24.24	5.9e-18
25.49	6.33e-18
30.34	8.02e-18
31.1	8.14e-18
31.11	8.69e-18
31.13	8.33e-18
31.14	8.21e-18
31.18	8.12e-18
31.19	8.08e-18
31.25	8.2e-18
31.26	8.14e-18
31.36	8.38e-18
31.37	8.3e-18
31.38	8.19e-18
31.56	8.49e-18
31.57	7.9e-18
31.58	9.3e-18
31.59	8.35e-18
31.98	8.46e-18
32.01	8.03e-18
32.02	9.63e-18
32.03	8.97e-18
32.04	8.37e-18
32.83	8.88e-18
32.87	8.85e-18
32.92	8.88e-18
33	8.95e-18
33.12	8.8e-18
33.13	9.35e-18
33.14	9.01e-18
33.23	8.63e-18
33.26	8.04e-18
33.27	9.22e-18
33.28	1.03e-17
33.29	9.54e-18
33.33	9.34e-18
33.35	9.02e-18
33.37	8.79e-18
33.82	8.96e-18
33.85	9.34e-18
33.86	9.1e-18
35.16	9.31e-18
35.24	9.63e-18
35.29	9.5e-18
36.38	9.87e-18
36.43	9.83e-18
36.49	9.75e-18
36.58	9.74e-18
36.59	9.78e-18
36.74	9.86e-18
37.02	1.01e-17
37.03	9.94e-18
37.61	1e-17
37.63	1.01e-17
39.26	1.02e-17
39.29	1.1e-17
39.32	1.05e-17
43.68	1.13e-17
43.7	9.35e-18
43.71	1.25e-17
43.73	1.16e-17
43.76	1.02e-17
43.77	1.25e-17
43.78	1.27e-17
43.79	1.13e-17
43.8	1.11e-17
43.84	1.05e-17
43.85	9.93e-18
43.86	1.4e-17
43.87	1.32e-17
43.89	1.13e-17
43.9	1.13e-17
43.97	1.05e-17
43.98	8.78e-18
43.99	1.1e-17
44	1.6e-17
44.01	1.3e-17
44.03	1.17e-17
44.17	1.05e-17
44.19	8.87e-18
44.2	1.1e-17
44.21	1.07e-17
44.22	1.75e-17
44.23	1.56e-17
44.24	1.3e-17
44.25	1.22e-17
44.32	1.14e-17
44.53	1.05e-17
44.56	9.53e-18
44.57	8.32e-18
44.58	1e-17
44.59	1.19e-17
44.6	1.13e-17
44.61	9.82e-18
44.62	1.72e-17
44.63	1.73e-17
44.64	1.55e-17
44.65	1.39e-17
44.66	1.28e-17
44.7	1.19e-17
45.24	1.08e-17
45.32	9.91e-18
45.36	8.27e-18
45.37	9.79e-18
45.38	1.19e-17
45.39	1.19e-17
45.44	1.05e-17
45.45	9.57e-18
45.47	1.12e-17
45.48	9.09e-18
45.49	3.42e-17
45.51	1.86e-17
45.52	1.48e-17
45.53	1.37e-17
45.56	1.28e-17
45.64	1.21e-17
47.27	1.09e-17
47.45	9.96e-18
47.52	8.62e-18
47.6	1.21e-17
47.64	1.22e-17
47.8	1.08e-17
47.84	1.45e-17
47.88	1.07e-17
47.93	9.35e-18
47.97	4.12e-17
48.01	1.72e-17
48.06	1.45e-17
48.15	1.32e-17
48.45	1.24e-17
52	1.21e-17
66.885	1.15e-17
66.89	1.93e-17
66.9	9.83e-18
66.91	1.45e-17
66.92	1.07e-17
66.99	9.04e-18
67	8.14e-18
67.01	1.82e-17
67.03	1.41e-17
67.04	1.27e-17
67.05	1.02e-17
67.14	9.02e-18
67.17	2.05e-17
67.18	1.11e-17
67.2	7.78e-18
67.21	1.73e-17
67.22	1.13e-17
67.24	1.02e-17
67.37	9.02e-18
67.4	8.3e-18
67.41	2.83e-17
67.42	1.11e-17
67.45	8.29e-18
67.46	1.36e-17
67.47	1.6e-17
67.48	1.16e-17
67.51	1.02e-17
67.72	8.99e-18
67.77	8.25e-18
67.78	3.32e-17
67.79	1.37e-17
67.8	1.05e-17
67.84	8.29e-18
67.86	7.25e-18
67.87	2.24e-17
67.88	1.43e-17
67.89	1.23e-17
67.9	1.11e-17
67.95	1.02e-17
68.3	8.96e-18
68.39	8.19e-18
68.4	1.94e-17
68.41	4.13e-17
68.42	1.48e-17
68.43	1.18e-17
68.44	1.04e-17
68.51	8.27e-18
68.54	6.96e-18
68.55	7.3e-18
68.56	2.13e-17
68.57	2.14e-17
68.58	1.57e-17
68.59	1.35e-17
68.6	1.24e-17
68.63	1.11e-17
68.7	1.02e-17
69.41	8.9e-18
69.55	8.04e-18
69.56	8.23e-18
69.58	2.43e-17
69.6	3.06e-17
69.61	1.37e-17
69.63	1.13e-17
69.67	9.99e-18
69.81	8.22e-18
69.87	6.96e-18
69.88	7.05e-18
69.9	1.68e-17
69.92	2.22e-17
69.94	1.63e-17
69.96	1.38e-17
69.98	1.27e-17
70	1.2e-17
70.06	1.1e-17
70.23	1.02e-17
71.54	9.25e-18
72.15	8.52e-18
72.23	8.6e-18
72.27	4.66e-17
72.32	1.77e-17
72.36	1.16e-17
72.4	1.04e-17
72.45	9.9e-18
72.87	8.11e-18
73.02	6.83e-18
73.07	6.82e-18
73.12	1.19e-17
73.18	1.88e-17
73.28	1.42e-17
73.39	1.24e-17
73.61	3.37e-17
73.62	1.95e-18
73.63	4.89e-18
73.64	5.06e-18
73.65	3.52e-18
73.71	4.15e-18
73.74	4.64e-18
73.75	1.32e-17
73.76	1.24e-17
73.77	3.46e-18
73.78	8.37e-18
73.79	2.2e-18
73.81	3.53e-18
73.89	4.16e-18
73.93	4.64e-18
73.94	5.63e-18
73.95	2.92e-17
73.96	1.51e-18
73.97	3.12e-18
73.98	3.85e-18
73.99	7.94e-18
74	1.97e-18
74.01	3.25e-18
74.03	3.57e-18
74.15	4.15e-18
74.2	4.63e-18
74.22	5.25e-18
74.23	6.36e-18
74.24	4.07e-17
74.25	1.21e-18
74.26	2.9e-18
74.28	3.87e-18
74.29	4.47e-18
74.3	5.51e-18
74.31	5.61e-18
74.32	2.71e-18
74.33	3.27e-18
74.36	3.59e-18
74.55	4.15e-18
74.63	4.63e-18
74.66	5.23e-18
74.67	5.92e-18
74.68	7.79e-18
74.69	3.1e-17
74.7	5.96e-17
74.71	1.89e-18
74.72	2.71e-18
74.73	3.22e-18
74.75	3.77e-18
74.78	4.69e-18
74.79	5.96e-18
74.8	6.46e-18
74.81	1.93e-18
74.82	2.73e-18
74.84	3.3e-18
74.89	3.61e-18
75.2	4.15e-18
75.35	4.61e-18
75.4	5.19e-18
75.42	5.86e-18
75.43	6.62e-18
75.44	8.78e-18
75.45	2.35e-17
75.46	4.15e-16
75.47	3.98e-19
75.48	1.74e-18
75.49	2.44e-18
75.5	2.84e-18
75.52	3.31e-18
75.6	4.24e-18
75.62	4.88e-18
75.63	5.8e-18
75.64	1.05e-17
75.65	6.14e-19
75.66	1.87e-18
75.67	2.57e-18
75.69	2.9e-18
75.72	3.32e-18
75.81	3.64e-18
76.34	4.11e-18
76.69	4.57e-18
76.79	5.1e-18
76.83	5.73e-18
76.85	6.46e-18
76.87	8.63e-18
76.89	1.63e-17
76.91	3.46e-17
76.93	9.64e-19
76.95	2.14e-18
76.97	2.71e-18
77.01	3.28e-18
77.19	4.28e-18
77.24	4.84e-18
77.26	5.57e-18
77.28	8.39e-18
77.31	9.85e-18
77.33	1.68e-18
77.36	2.52e-18
77.38	2.9e-18
77.4	3.12e-18
77.45	3.35e-18
77.64	3.67e-18
79.65	4.41e-18
79.94	4.86e-18
80.04	5.38e-18
80.09	6.03e-18
80.15	8.15e-18
80.2	1.46e-17
80.25	2.6e-19
80.3	2.13e-18
80.36	2.84e-18
80.41	3.19e-18
80.53	3.56e-18
80.94	4.2e-18
81.12	4.73e-18
81.19	5.21e-18
81.25	6.48e-18
81.32	2.02e-17
81.38	8.86e-19
81.45	2.28e-18
81.52	2.81e-18
81.66	3.24e-18
81.95	3.55e-18
83.17	3.82e-18
91.044	3.83e-18
